epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,11952.6,1.96735,1.59149,0.00672,0.62668,0.49128,0.53357,0.25396,1.89926,1.57231,0.00763,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,12157.7,1.96672,1.58207,0.00667,0.61199,0.50831,0.5388,0.25657,1.90308,1.54286,0.0077,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,12363.2,1.95871,1.55103,0.00663,0.62145,0.51319,0.5422,0.26115,1.89186,1.53574,0.00759,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,12567.9,1.95405,1.54153,0.00666,0.6178,0.51051,0.53817,0.26084,1.88157,1.52783,0.00754,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,12772.4,1.94409,1.52705,0.00656,0.61281,0.5225,0.54338,0.26268,1.88483,1.52453,0.00755,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,12977.3,1.93617,1.50902,0.00653,0.63046,0.52083,0.54687,0.26579,1.88603,1.50962,0.00753,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,13182.6,1.92582,1.50656,0.00654,0.64499,0.50915,0.55024,0.27113,1.88217,1.50854,0.0076,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,13388,1.92341,1.49709,0.00644,0.65059,0.50714,0.55143,0.27161,1.87427,1.50609,0.00753,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,13593.9,1.91442,1.46438,0.00644,0.63468,0.52203,0.55358,0.27364,1.86212,1.49996,0.00747,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,13799.3,1.8993,1.44305,0.00631,0.64368,0.52199,0.55613,0.27561,1.85054,1.49451,0.00735,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,14005.1,1.89612,1.45479,0.00634,0.63337,0.5268,0.55785,0.27737,1.85319,1.49007,0.00733,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,14211.4,1.90207,1.4331,0.00633,0.64553,0.52397,0.56034,0.28058,1.8503,1.47413,0.00735,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
